;TRANID;OBJVERS;SEGID;RULEID;STEPID;PARAMTYPE;PARAMNM;FIELDNM;FIELDTYPE;KEYFLAG;RULEPOSIT;AGGR
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   24;    0;        1;MECUGRP1;MECUGRP1;I;;     0028
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   25;    0;        0;KVGR2;KVGR2;F;;     0018
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   25;    0;        1;MECUGRP2;MECUGRP2;I;;     0029
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   26;    0;        0;KVGR3;KVGR3;F;;     0019
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   26;    0;        1;MECUGRP3;MECUGRP3;I;;     0030
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   27;    0;        0;KVGR4;KVGR4;F;;     0020
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   27;    0;        1;MECUGRP4;MECUGRP4;I;;     0031
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   28;    0;        0;KVGR5;KVGR5;F;;     0021
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   28;    0;        1;MECUGRP5;MECUGRP5;I;;     0032
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   29;    0;        0;LIFSK;LIFSK;F;;     0022
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   29;    0;        1;MBDELBLK;MBDELBLK;I;;     0033
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   30;    0;        0;PVRTNR;PVRTNR;F;;     0023
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   30;    0;        1;MBPVRTNR;MBPVRTNR;I;;     0034
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   31;    0;        0;VBTYP;VBTYP;F;;     0025
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   31;    0;        1;MBVBTYP;MBVBTYP;I;;     0035
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   32;    0;        0;VDATU;VDATU;F;;     0026
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   32;    0;        1;MBVDATU;MBVDATU;I;;     0036
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   33;    0;        0;VKBUR;VKBUR;F;;     0027
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   33;    0;        1;MESALOFF;MESALOFF;I;;     0037
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   34;    0;        0;VKGRP;VKGRP;F;;     0028
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   34;    0;        1;MESALGRP;MESALGRP;I;;     0038
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   35;    0;        0;VKORG;VKORG;F;;     0029
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   35;    0;        1;MESALEORG;MESALEORG;I;;     0039
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   36;    0;        0;VTWEG;VTWEG;F;;     0030
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   36;    0;        1;MEDISCHAN;MEDISCHAN;I;;     0040
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   37;    0;        0;WAERK;WAERK;F;;     0031
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   37;    0;        1;0DOC_CURRCY;0DOC_CURRCY;I;;     0041
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   38;    0;        0;SPARA;SPARA;F;;     0035
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   38;    0;        1;MEDIVISIO;MEDIVISIO;I;;     0042
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   39;    0;        0;VGTYP_AK;VGTYP_AK;F;;     0036
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   39;    0;        1;MBDOCATR;MBDOCATR;I;;     0043
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   40;    0;        0;ANZAU;ANZAU;F;;     0037
;016SR3U9EM0A9PVO3TF5CFRI1WB5NAU2;A; 0001;   40;    0;        1;0ORD_ITEMS;0ORD_ITEMS;I;;     0044
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    1;    0;        1;0RECORDMODE;0RECORDMODE;I;;     0006
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    2;    0;        0;VBELN;VBELN;F;;     0002
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    2;    0;        1;MBBILLNUM;MBBILLNUM;I;X;     0004
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    3;    0;        0;POSNR;POSNR;F;;     0010
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    3;    0;        1;MBBILLITM;MBBILLITM;I;X;     0005
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    4;    0;        0;AUBEL;AUBEL;F;;     0036
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    4;    0;        1;MBORDNUM;MBORDNUM;I;;     0007
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    5;    0;        0;AUPOS;AUPOS;F;;     0037
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    5;    0;        1;MBORDITM;MBORDITM;I;;     0008
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    6;    0;        0;VGBEL;VGBEL;F;;     0099
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    6;    0;        1;MBDELNUM;MBDELNUM;I;;     0009
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    7;    0;        0;VGPOS;VGPOS;F;;     0100
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    7;    0;        1;MBDELITM;MBDELITM;I;;     0010
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A; 0001;    8;    0;        0;AEDAT;AEDAT;F;;     0011
