;TRANID;OBJVERS;RULEID;STEPID;VALUE;INTTYPE;LENGTH;DECIMALS
;017MEDJ35RYKGGTFIU03IM5UAPISEYHA;A;    1;    1;;C;    1;      0
;0MFIYPLCRITTE5NB4WCWXQZSR89GFY5G;A;    1;    1;;C;    1;      0
